Tipo,Equipamento,Ativo,Protocolo,Azimute,Latitude,Longitude
"Recinto (ponto)","Vports Capuaba – 7951307","true","","","-20.326921","-40.336132"
"Recinto (ponto)","TVV – 7951305","true","","","-20.325231","-40.328429"
"Recinto (ponto)","CPVV – 7951???","true","","","-20.326217","-40.323944"
"Recinto (ponto)","PEIU – 7951???","true","","","-20.325613","-40.338750"
"Recinto (ponto)","Cais Comercial – 7951301","true","","","-20.321697","-40.343938"
"Balança (ponto)","Balança Principal VIX 1","true","d45c9d3b-7d15-4796-85b1-7931b166cac3","","-20.321899","-40.34521"
"Balança (ponto)","Balança Principal VIX 1","true","b70e99c6-7e63-46f7-aa2e-f65c0e1866d2","","-20.321899","-40.34521"
"Balança (ponto)","Balança Principal VIX 2","true","1ecf5e68-9c29-4a2f-8b20-d0a161a66170","","-20.321807","-40.345323"
"Balança (ponto)","Balança Principal VIX 2","true","b571c8c9-0480-4bdb-904c-5baed053ccc6","","-20.321807","-40.345323"
"Catraca e similares (ponto)","Cancela - Porto de Vitória - Entrada Veículos 1/2","true","fa5c3e40-39c1-4225-8477-ff158e169762","","-20.325756","-40.340344"
"Catraca e similares (ponto)","Cancela - Porto de Vitória - Entrada Veículos 1/2","true","2d49d310-4e9f-43e2-8008-06a8236f25ce","","-20.321197","-40.347184"
"Catraca e similares (ponto)","Cancela - Porto de Vitória - Saída Veículos - 01","true","50146232-a3b6-4b8b-aa45-4d0daad83608","","-20.32117","-40.347079"
"Catraca e similares (ponto)","Cancela - Porto de Vitória - Saída Veículos - 01","true","9a81b05e-ea32-4182-af13-b8a81efab7f7","","-20.32117","-40.347079"
"Catraca e similares (ponto)","Cancela - Porto de Vitória - Saída Veículos - 02","true","00eed616-aaab-4f6b-a05d-01b66102d23f","","-20.32117","-40.347079"
"Catraca e similares (ponto)","Cancela - Porto de Vitória - Saída Veículos - 02","true","7e70ce00-3ca3-455f-a564-2721fbdb2b88","","-20.32117","-40.347079"
"Catraca e similares (ponto)","Catraca - Porto de Vitória - Fiéis","true","b4450ae5-db4c-48f6-b087-d82e0280bf63","","-20.322269","-40.340071"
"Catraca e similares (ponto)","Catraca - Porto de Vitória - Fiéis","true","e4eec68e-67d7-41a0-a4bd-bc148578e341","","-20.322269","-40.340071"
"Catraca e similares (ponto)","Catraca - Porto de Vitória - PDIP - Entrada","true","9d6b7004-d6b6-4051-91b9-298fd54f5c82","","-20.321179","-40.347187"
"Catraca e similares (ponto)","Catraca - Porto de Vitória - PDIP - Entrada","true","b3c2930d-e37d-46e1-b2ff-1bf1d47bd2b3","","-20.321179","-40.347187"
"Catraca e similares (ponto)","Catraca - Porto de Vitória - PDIP - Saída","true","dbd55916-0ffc-4796-ba1b-4fa090b25c32","","-20.321156","-40.34712"
"Catraca e similares (ponto)","Catraca - Porto de Vitória - PDIP - Saída","true","c497f8b4-06e8-435d-bf62-7dac59c1123c","","-20.321156","-40.34712"
"Catraca e similares (ponto)","Catraca - Vitória - Fiéis","true","4e4c4068-98e3-44d1-a079-fa2038f5c2a1","1","-20.322314","-40.340072"
"Catraca e similares (ponto)","Controlador - Porto de Vitória - Portão PF - Entr.","true","0ed36ab5-1b5d-4499-a11e-cc7796b0cf2d","","-20.321692","-40.343935"
"Catraca e similares (ponto)","Controlador - Porto de Vitória - Portão PF - Entr.","true","bd1450a7-2cbe-4c94-9a31-5ca4deac14b4","","-20.321692","-40.343935"
"Catraca e similares (ponto)","Controlador - Porto de Vitória - Portão PF - Entr.","true","4be5a309-38ee-45f5-8a79-eccde65c4c8a","","-20.321692","-40.343935"
"Catraca e similares (ponto)","Controlador - Porto de Vitória - Portão PF - Saída","true","d9a26aba-0c05-4e13-853e-0c2dae29fdd9","","-20.321697","-40.343938"
"Catraca e similares (ponto)","Controlador - Porto de Vitória - Portão PF - Saída","true","9402d72a-acfd-4101-bc16-4ad964d46dc9","","-20.321697","-40.343938"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 4 - Entrada","true","95f362ea-463c-49d8-b49a-8bbcf5e46e21","","-20.322278","-40.338371"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 4 - Entrada","true","6d702eca-a602-4334-a7bc-dda184233c0b","","-20.322278","-40.338371"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 4 - Saída","true","b63b3050-7d13-4ac6-a002-529b485334e7","","-20.322278","-40.338395"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 4 - Saída","true","c4014244-99c7-47eb-8979-89cf613ef331","","-20.322278","-40.338395"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 5 - Entrada","true","d66fe100-5757-455b-949b-4687000d46b9","","-20.321986","-40.336096"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 5 - Entrada","true","c156a885-d025-4943-95b3-ac86ad7fe02b","","-20.321986","-40.336096"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 5 - Saída","true","8a1e2da3-0618-4768-a370-138f6948e5fe","","-20.321961","-40.336102"
"Catraca e similares (ponto)","Controlador - Vitória - Portão Prédio 5 - Saída","true","dbf593b7-2158-41e6-9e2b-c587cd6f4037","","-20.321961","-40.336102"
"Catraca e similares (ponto)","IDBOX-VIX-CPD","true","8533fdef-bba8-4977-9dd0-a45f64c8460e","","-20.322065","-40.345032"
"Catraca e similares (ponto)","IDBOX-VIX-GATE 01 Entrada","true","0af35619-f7d0-4642-aff7-ee311dbe95dc","","-20.321971","-40.344972"
"Catraca e similares (ponto)","IDBOX-VIX-GATE 01 Saída Desativado","true","af41d250-280a-4467-bdbc-0dd9140b06e5","","-20.32195","-40.345127"
"Catraca e similares (ponto)","IDBOX-VIX-GATE 02 Saída Caminhao","true","033579ff-552d-4787-b5c8-371c2b591254","","-20.321889","-40.345104"
"Catraca e similares (ponto)","IDBOX-VIX-GATE 02.1 Saída Carro","true","fcc09254-ced3-4189-90cf-81148808ba2d","","-20.321889","-40.345104"
"Catraca e similares (ponto)","IDBOX-VIX-TORNIQ URNAS","true","44051603-4fe3-4ff8-8467-2e403e71ba9f","","-20.322059","-40.345002"
"Catraca e similares (ponto)","IDFLEX-VIX-08-Torniq Entrad 1","true","e3cff84a-a982-4113-b02e-bf4fbf526467","","-20.322066","-40.344989"
"Catraca e similares (ponto)","IDFLEX-VIX-09-TORNIQ ENTRADA 2","true","54526d5d-62e7-44e4-88ae-73ab62b21664","","-20.322053","-40.344986"
"Catraca e similares (ponto)","IDFLEX-VIX-10-TORNIQ Saída 1","true","7b7e4a41-1b76-4fce-a95d-a96eeed8a231","","-20.32207","-40.344986"
"Catraca e similares (ponto)","IDFLEX-VIX-11-TORNIQ Saída 2","true","b6376b2f-6e1e-4beb-b925-92b32941c838","","-20.322062","-40.344981"
